productId,partNumber,brand,name
AGIL-0100-2637,0100-2637,Agilent,"Nut and ferrule, stainless steel, 1/8 inch, for sample loop for switching valve"
AGIL-01002637,0100-2637,Agilent,"Nut and ferrule, stainless steel, 1/8 inch, for sample loop for switching valve"
AGIL-0101867305,01018-67305,Agilent,Capillary stainless steel 0.25 x 700 mm S/S ps/ns
AGIL-01018-67305,01018-67305,Agilent,Capillary stainless steel 0.25 x 700 mm S/S ps/ns
AGIL-01080-83202,01080-83202,Agilent,"Blanking Nut, Adapter, Hose Connector"
AGIL-0108083202,01080-83202,Agilent,"Blanking Nut, Adapter, Hose Connector"
AGIL-0109087305,01090-87305,Agilent,HPLC Tubing 0.17mm ID x 130mm
AGIL-08901761,0890-1761,Agilent,HPLC PEEK Tubing 0.5mm ID x 1.6mm OD x 1500mm
AGIL-08901762,0890-1762,Agilent,"Tubing, PEEK, 1.6 mm od, 0.25 mm id, 1.5 m. Blue"
AGIL-0890-1762,0890-1762,Agilent,"Tubing, PEEK, 1.6 mm od, 0.25 mm id, 1.5 m. Blue"
AGIL-08901763,0890-1763,Agilent,HPLC PEEK Tubing 0.18mm ID x 1.6mm OD x 1500mm
AGIL-08901915,0890-1915,Agilent,HPLC PEEK Tubing 0.13mm ID x 1.6mm OD x 1500mm
AGIL-08901921,0890-1921,Agilent,HPLC PEEK Tubing 0.8mm ID x 1.6mm OD x 1500mm
AGIL-08901962,0890-1962,Agilent,HPLC Tubing
AGIL-121-1012,121-1012,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm"
AGIL-121-1012E,121-1012E,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm"
AGIL-121-1012LTM,121-1012LTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm"
AGIL-121-1013,121-1013,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.4 µm"
AGIL-121-1013LTM,121-1013LTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.4 µm"
AGIL-121-101A,121-101A,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.2 µm"
AGIL-121-101ALTM,121-101ALTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.2 µm"
AGIL-12102001,12102001,Agilent,Agilent SPE Cartridges 12102001
AGIL-12102004,12102004,Agilent,Agilent SPE Cartridges 12102004
AGIL-12102017TB,12102017TB,Agilent,Bond Elut SAX 1ML 100MG
AGIL-12102022,12102022,Agilent,Agilent SPE Cartridges 12102022
AGIL-12102023,12102023,Agilent,Agilent SPE Cartridges 12102023
AGIL-12102025,12102025,Agilent,Agilent SPE Cartridges 12102025
AGIL-12102028,12102028,Agilent,Agilent SPE Cartridges 12102028
AGIL-12102031,12102031,Agilent,Agilent SPE Cartridges 12102031
AGIL-12102047,12102047,Agilent,Agilent SPE Cartridges 12102047
AGIL-12102048,12102048,Agilent,Agilent SPE Cartridges 12102048
AGIL-12102049,12102049,Agilent,Agilent SPE Cartridges 12102049
AGIL-12102058,12102058,Agilent,Agilent SPE Cartridges 12102058
AGIL-12102058B,12102058B,Agilent,Agilent SPE Cartridges 12102058B
AGIL-12102069,12102069,Agilent,Agilent SPE Cartridges 12102069
AGIL-12102070,12102070,Agilent,Agilent SPE Cartridges 12102070
AGIL-12102071,12102071,Agilent,Agilent SPE Cartridges 12102071
AGIL-12102090,12102090,Agilent,Agilent SPE Cartridges 12102090
AGIL-12102096,12102096,Agilent,Agilent SPE Cartridges 12102096
AGIL-12102099,12102099,Agilent,Agilent SPE Cartridges 12102099
AGIL-12102118,12102118,Agilent,Agilent SPE Cartridges 12102118
AGIL-12102133,12102133,Agilent,Agilent SPE Cartridges 12102133
AGIL-12102161,12102161,Agilent,Agilent SPE Cartridges 12102161
AGIL-12105027,12105027,Agilent,Agilent SPE Cartridges 12105027
AGIL-12105102B,12105102B,Agilent,Bond Elut C18 1ml 100Mg
AGIL-1210C18OHTCB,1210C18OHTCB,Agilent,Bond Elut C18-OH 6ml 500mg
AGIL-12113046,12113046,Agilent,Agilent SPE Cartridges 12113046
AGIL-12113048,12113048,Agilent,Agilent SPE Cartridges 12113048
AGIL-122-1011,122-1011,Agilent,"DB-1 GC Column - L:15 m, ID:0.25 mm, FT:0.1 µm"
AGIL-122-1012,122-1012,Agilent,"DB-1 GC Column - L:15 m, ID:0.25 mm, FT:0.25 µm"
